,Title,Published_date,Views,Likes,Favourites,Comments,Month
200,Top 5 Data Analyst Interview Mistakes,2021-01-05,58799,1609,0,65,Jan
201,2020 Year End Review + Upcoming Giveaway Details,2020-12-31,1551,140,0,101,Dec
202,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24,40688,1181,0,138,Dec
203,Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22,10359,234,0,32,Dec
204,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,2020-12-17,45201,1514,0,207,Dec
205,Data Engineer vs Data Analyst | Which Is Right For You?,2020-12-15,76695,2591,0,141,Dec
206,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2020-12-10,2630,95,0,54,Dec
207,Advanced SQL Tutorial | CTE (Common Table Expression),2020-12-08,263658,4466,0,170,Dec
208,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",2020-12-03,22761,739,0,194,Dec
209,Intermediate SQL Tutorial | Partition By,2020-12-01,207098,5204,0,184,Dec
210,Data Analyst Q/A LIVE #5 | AMA,2020-11-28,4798,131,0,18,Nov
211,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,2020-11-25,24120,873,0,161,Nov
212,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,2020-11-19,14246,565,0,206,Nov
213,Top 3 Tips on Using LinkedIn to Land a Job,2020-11-17,238080,9285,0,212,Nov
214,What is No Code Analytics? | Alex The Analyst Show | Episode 10,2020-11-12,3735,120,0,80,Nov
215,Solving LeetCode SQL Interview Questions | Part 1/3,2020-11-10,23217,622,0,62,Nov
216,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05,12237,360,0,116,Nov
217,Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03,75338,3567,0,275,Nov
218,Data Analyst Q&A LIVE #4,2020-10-30,3437,105,0,25,Oct
219,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27,13582,550,0,223,Oct
220,Top 10 Udemy Courses for Data Analysts,2020-10-22,143773,4393,0,275,Oct
221,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20,177109,6207,0,986,Oct
222,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15,4532,171,0,72,Oct
223,Top 10 Coursera Courses for Data Analysts,2020-10-13,102401,4578,0,279,Oct
224,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08,7084,359,0,178,Oct
225,Data Analyst Expectations vs Reality,2020-10-06,75260,2797,0,185,Oct
226,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01,7126,254,0,164,Oct
227,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24,44525,1488,0,716,Sep
228,Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22,14446,609,0,82,Sep
229,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10,413327,12137,0,3815,Sep
230,Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08,43967,1322,0,74,Sep
231,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03,19494,669,0,83,Sep
232,Top 5 Reasons Not to Lie on Your Resume,2020-09-01,11514,202,0,116,Sep
233,Live Data Analyst Q&A #3,2020-08-29,2813,101,0,43,Aug
234,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20,129230,4656,0,273,Aug
235,Top 5 Reasons Not to Become a Data Analyst,2020-08-12,915227,19698,0,1053,Aug
236,Data Analyst Bootcamps | Are They Worth It?,2020-08-05,32529,557,0,91,Aug
237,What Does a Data Analyst Actually Do?,2020-07-29,854785,17025,0,456,Jul
238,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22,4190,166,0,67,Jul
239,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15,52987,1367,0,157,Jul
240,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03,732479,18836,0,573,Jul
241,Best Free Online Courses for Data Analysts,2020-06-23,56047,2734,0,95,Jun
242,Best Online Courses for Data Analysts,2020-06-17,178299,9259,0,416,Jun
243,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10,755716,23626,0,851,Jun
244,Intermediate SQL Tutorial | Aliasing,2020-06-04,112400,3246,0,84,Jun
245,Data Analyst Q&A LIVE,2020-05-31,9466,247,0,54,May
246,Data Analyst Interviews | Salary Negotiation,2020-05-27,24292,769,0,26,May
247,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20,66414,1615,0,35,May
248,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13,111409,2985,0,105,May
249,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06,74205,1536,0,64,May
250,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23,15016,522,0,51,Apr
251,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16,115654,2807,0,126,Apr
252,Intermediate SQL Tutorial | Having Clause,2020-04-09,134979,3789,0,67,Apr
253,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02,229898,5928,0,378,Apr
254,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26,200331,4164,0,146,Mar
255,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19,405054,7297,0,398,Mar
256,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11,124305,2560,0,268,Mar
257,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,256326,6826,0,211,Mar
258,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,269981,5032,0,143,Mar
259,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,393056,6107,0,251,Mar
260,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,1121812,15484,0,1788,Mar
261,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,25543,848,0,161,Feb
262,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,24071,519,0,39,Feb
263,Data Analyst Salary in 2020,2020-02-19,8022,155,0,25,Feb
264,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,13269,588,0,39,Feb
265,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,48310,1769,0,248,Feb
266,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,114648,3384,0,102,Feb
267,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,66718,1580,0,64,Jan
268,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25,14552,398,0,20,Jan
269,Data Analyst Salary | 100k with No Experience,2020-01-23,62338,2155,0,227,Jan
270,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21,8228,308,0,18,Jan
271,Top 3 Data Analyst Skills in 2020,2020-01-17,27899,1368,0,138,Jan
